Name,Artist,Album,Release Date,Popularity,Explicit,Duration (ms),Track ID,Spotify URL
Heard 'Em Say,Kanye West,Late Registration,2005-08-30,38,False,203733,2cDpmdTWch4yBrTyl5Qmca,https://open.spotify.com/track/2cDpmdTWch4yBrTyl5Qmca
Don't Cha,The Pussycat Dolls,PCD,2005-01-01,68,False,272080,1gZ7i4qxXkHZb1r6eioaAP,https://open.spotify.com/track/1gZ7i4qxXkHZb1r6eioaAP
Gotta Make It (feat. Twista),Trey Songz,I Gotta Make It,2005-07-26,45,False,243279,4xONUhRpKk1UIBsCSdviQo,https://open.spotify.com/track/4xONUhRpKk1UIBsCSdviQo
Lighters Up,Lil' Kim,Lighters Up,2005-08-30,20,False,244800,61w9bVrJ9RMLcvFRJOnqQu,https://open.spotify.com/track/61w9bVrJ9RMLcvFRJOnqQu
Touch The Sky,Kanye West,Late Registration,2005-08-30,74,True,236600,2dxjKgT0li4qBI3QwuN9Ih,https://open.spotify.com/track/2dxjKgT0li4qBI3QwuN9Ih
Grillz,Nelly,Sweatsuit,2005-11-25,0,False,271160,6VUmPW4P9jz0JIXVHX7Rfp,https://open.spotify.com/track/6VUmPW4P9jz0JIXVHX7Rfp
"Touch It - Remix/Featuring Mary J. Blige, Rah Digga, Missy Elliot, Lloyd Banks, Papoose & DMX (Edited)",Busta Rhymes,Touch It Remixes,2005-01-01,44,False,240146,7HiUa9Gkk3QddHWT4jKiXd,https://open.spotify.com/track/7HiUa9Gkk3QddHWT4jKiXd
SexyBack (feat. Timbaland),Justin Timberlake,FutureSex/LoveSounds Deluxe Edition,2006-09-13,61,False,242800,4Lvc9SbPc0svm9TEoMgFzB,https://open.spotify.com/track/4Lvc9SbPc0svm9TEoMgFzB
So What,Field Mob,Light Poles And Pine Trees,2006-01-01,33,False,215760,3Qz8njv1D4lC4AxLw1LYhz,https://open.spotify.com/track/3Qz8njv1D4lC4AxLw1LYhz
Temperature,Sean Paul,The Trinity,2005-09-27,82,False,216320,0k2GOhqsrxDTAbFFSdNJjT,https://open.spotify.com/track/0k2GOhqsrxDTAbFFSdNJjT
Unfaithful,Rihanna,A Girl Like Me,2006-04-10,72,False,226973,13xxBnXOuiBxVxJI458B0i,https://open.spotify.com/track/13xxBnXOuiBxVxJI458B0i
Lost Without U,Robin Thicke,The Evolution of Robin Thicke,2006-01-01,63,False,254146,4V2F0DZrAXOWq9hkwMMG3x,https://open.spotify.com/track/4V2F0DZrAXOWq9hkwMMG3x
"I Know You See It (feat. Brandy ""Ms. B"" Hambrick)",Yung Joc,New Joc City,2006-06-06,25,False,241320,5QUvrg3gdR2dO6qzcJgGrc,https://open.spotify.com/track/5QUvrg3gdR2dO6qzcJgGrc
Do It To It,Cherish,Unappreciated,2006-01-01,64,False,226293,6MBEjJlXQYXr8dfxDvZuoA,https://open.spotify.com/track/6MBEjJlXQYXr8dfxDvZuoA
(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version,Sean Paul,Only Hits,2006-11-07,61,False,243880,6k8uthjEbttfWXcGaNTQGD,https://open.spotify.com/track/6k8uthjEbttfWXcGaNTQGD
I Call It Love,Lionel Richie,Coming Home,2006-01-01,0,False,198293,2iO6rOzGHscN0GPetFUnAx,https://open.spotify.com/track/2iO6rOzGHscN0GPetFUnAx
My Love,Justin Timberlake,FutureSex/LoveSounds,2006-09-12,0,False,276160,13X42np3KJr0o2LkK1MG76,https://open.spotify.com/track/13X42np3KJr0o2LkK1MG76
Ice Box,Omarion,21,2006-12-26,59,False,256426,5qhlC4Rzals34zxovrPzKp,https://open.spotify.com/track/5qhlC4Rzals34zxovrPzKp
Call On Me,Janet Jackson,20 Y.O.,2006-01-01,59,False,204266,1G32fy7VMCDLl92iGXvBEm,https://open.spotify.com/track/1G32fy7VMCDLl92iGXvBEm
Stuntin' Like My Daddy - Radio Edit,Birdman,Like Father Like Son,2006-01-01,34,False,267293,2tM4MXXNUnoW4qC6Cc8Z34,https://open.spotify.com/track/2tM4MXXNUnoW4qC6Cc8Z34
Hustlin' - (Remix) Album Version (Edited),Rick Ross,Port Of Miami,2006-01-01,25,False,284373,79XikIPONudg6yvFBWLMTw,https://open.spotify.com/track/79XikIPONudg6yvFBWLMTw
Everytime Tha Beat Drop (feat. Dem Franchize Boyz),Monica,The Makings Of Me,2006-01-11,49,True,223293,1ydffhoWtTxKDrc5zi7p0M,https://open.spotify.com/track/1ydffhoWtTxKDrc5zi7p0M
Walk It Out,Unk,Total Club Hits,2008-04-15,0,False,154106,0fl6bGMxC5IzSvwYNHYkQj,https://open.spotify.com/track/0fl6bGMxC5IzSvwYNHYkQj
What Goes Around.../...Comes Around (Interlude),Justin Timberlake,FutureSex/LoveSounds,2006-09-12,0,False,448573,76D83dghHeE2NFedPFD4tf,https://open.spotify.com/track/76D83dghHeE2NFedPFD4tf
Make It Rain,Fat Joe,"Me, Myself & I",2006-11-14,0,True,247413,1Ji8DhJGIQuV9kBiTgcChh,https://open.spotify.com/track/1Ji8DhJGIQuV9kBiTgcChh
Need A Boss,Shareefa,Need A Boss (Edited Version),2006-01-01,28,False,234813,684c3GEBYgNYtlrCkWGFVw,https://open.spotify.com/track/684c3GEBYgNYtlrCkWGFVw
Unappreciated,Cherish,Unappreciated,2006-01-01,56,False,235333,5ZelMPn7vupvsTToUTvcbF,https://open.spotify.com/track/5ZelMPn7vupvsTToUTvcbF
I Love My B****,Busta Rhymes,The Big Bang,2006-01-01,23,False,227666,7tqb60RgdOFTptWn5ZJLoq,https://open.spotify.com/track/7tqb60RgdOFTptWn5ZJLoq
"Too Little, Too Late - Radio Version",JoJo,"Too Little, Too Late",2006-09-12,0,False,221573,7oUMJhQp5Bqu6HqxSZs02v,https://open.spotify.com/track/7oUMJhQp5Bqu6HqxSZs02v
Fresh Azimiz (feat. J-Kwon & Jermaine Dupri),Bow Wow,Playlist: The Very Best Of Bow Wow,2010-07-27,26,False,270146,7DYjzYtHHQExgtzgY04ZDc,https://open.spotify.com/track/7DYjzYtHHQExgtzgY04ZDc
What's Left Of Me,Nick Lachey,What's Left Of Me,2006-01-01,44,False,244666,1bPqAXwNiVcM6zjJU1Z4Cd,https://open.spotify.com/track/1bPqAXwNiVcM6zjJU1Z4Cd
Upgrade U (feat. JAY-Z),Beyoncé,B'Day,2006-09-04,58,False,272706,6V1nOgkrGmr6Wx1x4RQ6Bc,https://open.spotify.com/track/6V1nOgkrGmr6Wx1x4RQ6Bc
Dani California,Red Hot Chili Peppers,Stadium Arcadium,2006-05-09,79,False,282160,10Nmj3JCNoMeBQ87uw5j8k,https://open.spotify.com/track/10Nmj3JCNoMeBQ87uw5j8k
Ain't No Other Man,Christina Aguilera,Back To Basics,2006-08-14,61,False,228906,7huo2wvrCgRucUsjdSDLQV,https://open.spotify.com/track/7huo2wvrCgRucUsjdSDLQV
Buy U a Drank (Shawty Snappin') (feat. Yung Joc),T-Pain,Epiphany,2007-06-05,2,False,227960,2aIdVb8v9KTpEZnftkz2mD,https://open.spotify.com/track/2aIdVb8v9KTpEZnftkz2mD
Umbrella,Rihanna,Good Girl Gone Bad: Reloaded,2008-06-02,83,False,275986,49FYlytm3dAAraYgpoJZux,https://open.spotify.com/track/49FYlytm3dAAraYgpoJZux
Just Fine,Mary J. Blige,Growing Pains,2007-01-01,62,False,242133,33vzOPcd9FRirYGlCu32x4,https://open.spotify.com/track/33vzOPcd9FRirYGlCu32x4
Can't Help but Wait,Trey Songz,Trey Day,2007-10-01,67,False,206413,5k3VjTwIsOjQ2woGz3Yx71,https://open.spotify.com/track/5k3VjTwIsOjQ2woGz3Yx71
Beautiful Girls,Sean Kingston,Beautiful Girls,2007-07-23,79,False,225373,1hGy2eLcmC8eKx7qr1tOqx,https://open.spotify.com/track/1hGy2eLcmC8eKx7qr1tOqx
Shawty (feat. T-Pain),Plies,The Real Testament,2007-08-07,36,False,255413,6RlehUBvagbFzhADlLh5W3,https://open.spotify.com/track/6RlehUBvagbFzhADlLh5W3
Shawty Is Da Sh*! - Album Version Edited,The-Dream,Love/Hate,2007-01-01,31,False,262760,5wzxzjEwfITwFSOve1usTV,https://open.spotify.com/track/5wzxzjEwfITwFSOve1usTV
I'm a Flirt Remix (feat. T.I. & T-Pain),R. Kelly,The Essential R. Kelly,2014-05-19,60,True,330600,6w1DBbA8akxHPiBQ6nAyJq,https://open.spotify.com/track/6w1DBbA8akxHPiBQ6nAyJq
Stronger,Kanye West,Graduation,2007-09-11,0,False,312026,62dfjIOvQXX7XGj9Zc6UkO,https://open.spotify.com/track/62dfjIOvQXX7XGj9Zc6UkO
My Drink N' My 2 Step (feat. Swizz Beatz) - Radio Edit,Cassidy,My Drink N' My 2 Step (feat. Swizz Beatz) [Radio Edit],2007-09-11,21,False,194013,1ksleezIr9hz61v7TFNYE1,https://open.spotify.com/track/1ksleezIr9hz61v7TFNYE1
Get It Shawty,Lloyd,Street Love,2007-01-01,67,False,209533,2a03afRiyAbNAleOByVju4,https://open.spotify.com/track/2a03afRiyAbNAleOByVju4
Same Girl (with Usher),R. Kelly,Double Up,2007-05-25,62,True,252933,6OSmeoh8kXhCfz9WqvzDoJ,https://open.spotify.com/track/6OSmeoh8kXhCfz9WqvzDoJ
A Bay Bay - Single Version,Hurricane Chris,A Bay Bay,2007-06-19,0,False,257120,6MnFB3qurhmGs1xdjrz5Bg,https://open.spotify.com/track/6MnFB3qurhmGs1xdjrz5Bg
Good Life,Kanye West,Graduation,2007-09-11,0,False,206840,4ywqxtS81WFQR1Hv07nWxx,https://open.spotify.com/track/4ywqxtS81WFQR1Hv07nWxx
Let It Go,Keyshia Cole,Just Like You,2007-01-01,66,False,238333,2RqZFOLOnzVmHUX7ZMcaES,https://open.spotify.com/track/2RqZFOLOnzVmHUX7ZMcaES
Apologize,Timbaland,Shock Value,2007-04-02,73,False,184400,6ucR4KfvsBFWCMVFDvyKKl,https://open.spotify.com/track/6ucR4KfvsBFWCMVFDvyKKl
Flashing Lights,Kanye West,Graduation,2007-09-11,0,False,237440,3VeDFLfsE4VDX81a0UxJy2,https://open.spotify.com/track/3VeDFLfsE4VDX81a0UxJy2
Bartender (feat. Akon),T-Pain,Epiphany,2007-06-05,0,False,238800,03ErxNvdyiGmN1x4vaNDY2,https://open.spotify.com/track/03ErxNvdyiGmN1x4vaNDY2
The Way I Are,Timbaland,Shock Value,2007-01-01,83,False,179120,2bLqfJjuC5syrsgDsZfGmn,https://open.spotify.com/track/2bLqfJjuC5syrsgDsZfGmn
Like This (feat. Eve),Kelly Rowland,Ms. Kelly,2007-06-22,52,False,215853,3sfydNh0QQAdnIAtDVG16H,https://open.spotify.com/track/3sfydNh0QQAdnIAtDVG16H
Shortie Like Mine (feat. Chris Brown & Johntá Austin),Bow Wow,Playlist: The Very Best Of Bow Wow,2010-07-27,45,False,267506,4F55RCGuM477OjznpYGhYz,https://open.spotify.com/track/4F55RCGuM477OjznpYGhYz
